# time	rate	err	exposure
297104708.88503	6.9516	0.2966	100.00
297104808.88503	7.7230	0.3028	100.00
297104908.88503	8.1636	0.3188	100.00
297105008.88503	7.9940	0.3181	100.00
297105108.88503	7.5571	0.3069	100.00
297105208.88503	7.6322	0.3154	100.00
297105308.88503	7.5210	0.3098	100.00
297105408.88503	7.6555	0.3107	100.00
297105508.88503	7.6843	0.3096	100.00
297105608.88503	7.6946	0.3126	100.00
297105708.88503	6.6682	0.2948	100.00
297105808.88503	7.2096	0.3042	100.00
297105908.88503	7.0415	0.3005	100.00
297106008.88503	6.4082	0.2868	100.00
297106108.88503	7.2587	0.3067	100.00
297106208.88503	7.7579	0.3183	100.00
297106308.88503	6.9183	0.3157	100.00
297106408.88503	7.7527	0.3096	100.00
297106508.88503	6.7707	0.2986	100.00
297106608.88503	7.1749	0.3098	100.00
297106708.88503	7.2611	0.2981	100.00
297106808.88503	7.8281	0.3121	100.00
297106908.88503	7.3464	0.3063	100.00
297107008.88503	6.9966	0.2972	100.00
297107108.88503	7.3443	0.2963	100.00
297107208.88503	7.6745	0.3046	100.00
297107308.88503	7.3658	0.3010	100.00
297107408.88503	7.2651	0.3018	100.00
297107508.88503	7.2299	0.3190	100.00
297107608.88503	7.5383	0.3041	100.00
297107708.88503	8.2885	0.3160	100.00
297107808.88503	7.6832	0.3165	100.00
297107908.88503	8.4034	0.3189	100.00
297108008.88503	7.6122	0.3196	100.00
297108108.88503	7.8909	0.3223	100.00
297108208.88503	8.2859	0.3159	100.00
297108308.88503	7.7953	0.3121	100.00
297108408.88503	7.8765	0.3135	100.00
297108508.88503	8.6046	0.3302	100.00
297108608.88503	8.1272	0.3225	100.00
297108708.88503	7.5072	0.2987	100.00
297108808.88503	8.0342	0.3371	100.00
297109408.88503	7.4424	1.0265	100.00
297109508.88503	6.7725	0.2976	100.00
297109608.88503	6.5040	0.2932	100.00
297109708.88503	7.2912	0.2952	100.00
297109808.88503	6.7195	0.2925	100.00
297109908.88503	6.6400	0.2982	100.00
297110008.88503	6.7439	0.2860	100.00
297110108.88503	6.2650	0.2754	100.00
297110208.88503	6.5329	0.2900	100.00
297110308.88503	6.4896	0.2951	100.00
297110408.88503	6.9526	0.2915	100.00
297110508.88503	7.0291	0.2941	100.00
297110608.88503	7.2981	0.3092	100.00
297110708.88503	7.3406	0.3075	100.00
297110808.88503	7.5339	0.3096	100.00
297110908.88503	7.5641	0.3123	100.00
297111008.88503	7.6554	0.3086	100.00
297111108.88503	7.5494	0.3059	100.00
297111208.88503	7.5162	0.3106	100.00
297111308.88503	8.1519	0.3151	100.00
297111408.88503	8.1472	0.3139	100.00
297111508.88503	7.8347	0.3074	100.00
297111608.88503	8.3961	0.3249	100.00
297111708.88503	8.1212	0.3235	100.00
297111808.88503	8.1686	0.3176	100.00
297111908.88503	9.0120	0.3363	100.00
297112008.88503	8.4228	0.3291	100.00
297112108.88503	8.7124	0.3310	100.00
297112208.88503	8.3456	0.3187	100.00
297112308.88503	8.3339	0.3188	100.00
297112408.88503	8.4446	0.3263	100.00
297112508.88503	8.7299	0.3258	100.00
297112608.88503	8.6433	0.3316	100.00
297112708.88503	7.7254	0.3120	100.00
297112808.88503	7.5473	0.3042	100.00
297112908.88503	7.5755	0.3214	100.00
297113008.88503	7.8134	1.0169	100.00
297113108.88503	6.9665	0.2928	100.00
297113208.88503	6.5892	0.3041	100.00
297113308.88503	7.7052	0.3158	100.00
297113408.88503	7.1490	0.2999	100.00
297113508.88503	8.2762	0.3376	100.00
297113608.88503	7.2513	0.3221	100.00
297113708.88503	7.1346	0.3304	100.00
297116608.88503	8.6771	1.0533	100.00
297116708.88503	8.9199	0.3784	100.00
297118308.88503	8.1269	0.9943	100.00
297118408.88503	7.3556	0.3381	100.00
297119008.88503	6.8229	1.1081	100.00
297119108.88503	7.7219	0.3298	100.00
297119208.88503	8.2752	0.3762	100.00
297119408.88503	9.1522	1.0631	100.00
297119508.88503	8.4733	0.3389	100.00
297119608.88503	8.3144	0.3224	100.00
297119708.88503	8.1490	0.3430	100.00
