oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
629103400010558,230433444,2460058.839299846,60058.3344444,17.578743,0.023860922,0,zg,217.5669031,23.0623984,4.337,0.289,20230424334433,629,3,4,21.89,26.36218,0.027459469,-0.09214533,1.9150984e-05,30.0,1.009,1
629103400010558,230433538,2460058.8402373395,60058.3353819,17.564167,0.023698842,0,zg,217.5668922,23.0623671,4.083,0.501,20230424335382,629,3,4,21.85,26.36954,0.025747875,-0.09704552,1.6873671e-05,30.0,1.009,2
629103400010558,230533358,2460059.8384336918,60059.333588,17.511402,0.023131337,0,zg,217.5668971,23.0623578,3.315,0.068,20230425333588,629,3,4,21.47,26.371305,0.027083559,-0.1108343,1.891173e-05,30.0,1.008,2
629103400010558,230535870,2460059.8635491263,60059.3587037,17.545345,0.023493007,0,zg,217.5668978,23.0623763,2.847,0.061,20230425358704,629,3,4,21.46,26.382618,0.032235544,-0.12463636,2.6395046e-05,30.0,1.013,2
629103400010558,230638074,2460060.8855747017,60060.3807407,17.536983,0.023402767,0,zg,217.5668886,23.062349,4.25,0.124,20230426380729,629,3,4,21.47,26.36781,0.028972657,-0.10672165,2.118417e-05,30.0,1.037,1
629103400010558,230638167,2460060.8865121887,60060.3816782,17.553394,0.023580568,0,zg,217.5668959,23.0623743,3.307,0.198,20230426381667,629,3,4,21.57,26.37233,0.029018816,-0.11506707,2.140775e-05,30.0,1.038,2
629103400010558,230639802,2460060.9028545874,60060.3980208,17.483704,0.022845138,0,zg,217.5668895,23.0623787,3.5,0.13,20230426398009,629,3,4,21.37,26.331223,0.029875986,-0.08944203,2.3156113e-05,30.0,1.066,2
629103400010558,230842543,2460062.930246688,60062.4254398,17.602524,0.024130372,0,zg,217.5668975,23.0623606,3.301,0.302,20230428425428,629,3,4,21.66,26.350594,0.025977287,-0.09046488,1.7168739e-05,30.0,1.155,1
629103400010558,231026063,2460064.7654144187,60064.2606366,17.616688,0.02429389,0,zg,217.5669091,23.0623435,4.155,0.313,20230430260625,629,3,4,20.93,26.311052,0.03758677,-0.11980271,3.964894e-05,30.0,1.076,1
629103400010558,231130837,2460065.8131388137,60065.3083796,17.592175,0.024012338,0,zg,217.5669136,23.0623804,3.719,0.245,20230501308380,629,3,4,20.74,26.386633,0.036041576,-0.09404611,3.8887883e-05,30.0,1.011,2
